Date,Component_ID,Units_Used,Category
2022-01-01,RES-10K-0.25W,1630,Passive
2022-01-02,RES-10K-0.25W,1450,Passive
2022-01-03,RES-10K-0.25W,2768,Passive
2022-01-04,RES-10K-0.25W,2753,Passive
2022-01-05,RES-10K-0.25W,2494,Passive
2022-01-06,RES-10K-0.25W,2514,Passive
2022-01-07,RES-10K-0.25W,2406,Passive
2022-01-08,RES-10K-0.25W,1570,Passive
2022-01-09,RES-10K-0.25W,1564,Passive
2022-01-10,RES-10K-0.25W,2401,Passive
2022-01-11,RES-10K-0.25W,2455,Passive
2022-01-12,RES-10K-0.25W,2603,Passive
2022-01-13,RES-10K-0.25W,2514,Passive
2022-01-14,RES-10K-0.25W,2427,Passive
2022-01-15,RES-10K-0.25W,1673,Passive
2022-01-16,RES-10K-0.25W,1562,Passive
2022-01-17,RES-10K-0.25W,2548,Passive
2022-01-18,RES-10K-0.25W,2266,Passive
2022-01-19,RES-10K-0.25W,2595,Passive
2022-01-20,RES-10K-0.25W,2539,Passive
2022-01-21,RES-10K-0.25W,2573,Passive
2022-01-22,RES-10K-0.25W,1608,Passive
2022-01-23,RES-10K-0.25W,1239,Passive
2022-01-24,RES-10K-0.25W,2675,Passive
2022-01-25,RES-10K-0.25W,8301,Passive
2022-01-26,RES-10K-0.25W,2439,Passive
2022-01-27,RES-10K-0.25W,2642,Passive
2022-01-28,RES-10K-0.25W,2555,Passive
2022-01-29,RES-10K-0.25W,1466,Passive
2022-01-30,RES-10K-0.25W,1506,Passive
2022-01-31,RES-10K-0.25W,2459,Passive
2022-02-01,RES-10K-0.25W,2396,Passive
2022-02-02,RES-10K-0.25W,2833,Passive
2022-02-03,RES-10K-0.25W,2605,Passive
2022-02-04,RES-10K-0.25W,2517,Passive
2022-02-05,RES-10K-0.25W,4435,Passive
2022-02-06,RES-10K-0.25W,1503,Passive
2022-02-07,RES-10K-0.25W,2447,Passive
2022-02-08,RES-10K-0.25W,2436,Passive
2022-02-09,RES-10K-0.25W,2722,Passive
2022-02-10,RES-10K-0.25W,2598,Passive
2022-02-11,RES-10K-0.25W,2584,Passive
2022-02-12,RES-10K-0.25W,1698,Passive
2022-02-13,RES-10K-0.25W,1598,Passive
2022-02-14,RES-10K-0.25W,2560,Passive
2022-02-15,RES-10K-0.25W,2541,Passive
2022-02-16,RES-10K-0.25W,2422,Passive
2022-02-17,RES-10K-0.25W,2416,Passive
2022-02-18,RES-10K-0.25W,2484,Passive
2022-02-19,RES-10K-0.25W,1378,Passive
2022-02-20,RES-10K-0.25W,1340,Passive
2022-02-21,RES-10K-0.25W,2454,Passive
2022-02-22,RES-10K-0.25W,2585,Passive
2022-02-23,RES-10K-0.25W,2666,Passive
2022-02-24,RES-10K-0.25W,2509,Passive
2022-02-25,RES-10K-0.25W,2536,Passive
2022-02-26,RES-10K-0.25W,1759,Passive
2022-02-27,RES-10K-0.25W,1373,Passive
2022-02-28,RES-10K-0.25W,2503,Passive
2022-03-01,RES-10K-0.25W,2644,Passive
2022-03-02,RES-10K-0.25W,2728,Passive
2022-03-03,RES-10K-0.25W,2639,Passive
2022-03-04,RES-10K-0.25W,2278,Passive
2022-03-05,RES-10K-0.25W,1689,Passive
2022-03-06,RES-10K-0.25W,1349,Passive
2022-03-07,RES-10K-0.25W,2582,Passive
2022-03-08,RES-10K-0.25W,2257,Passive
2022-03-09,RES-10K-0.25W,2854,Passive
2022-03-10,RES-10K-0.25W,2498,Passive
2022-03-11,RES-10K-0.25W,4197,Passive
2022-03-12,RES-10K-0.25W,7674,Passive
2022-03-13,RES-10K-0.25W,1516,Passive
2022-03-14,RES-10K-0.25W,2433,Passive
2022-03-15,RES-10K-0.25W,2426,Passive
2022-03-16,RES-10K-0.25W,2426,Passive
2022-03-17,RES-10K-0.25W,2504,Passive
2022-03-18,RES-10K-0.25W,2579,Passive
2022-03-19,RES-10K-0.25W,1435,Passive
2022-03-20,RES-10K-0.25W,1589,Passive
2022-03-21,RES-10K-0.25W,2268,Passive
2022-03-22,RES-10K-0.25W,2266,Passive
2022-03-23,RES-10K-0.25W,2201,Passive
2022-03-24,RES-10K-0.25W,2573,Passive
2022-03-25,RES-10K-0.25W,2481,Passive
2022-03-26,RES-10K-0.25W,1526,Passive
2022-03-27,RES-10K-0.25W,1211,Passive
2022-03-28,RES-10K-0.25W,2653,Passive
2022-03-29,RES-10K-0.25W,2629,Passive
2022-03-30,RES-10K-0.25W,2338,Passive
2022-03-31,RES-10K-0.25W,2667,Passive
2022-04-01,RES-10K-0.25W,2519,Passive
2022-04-02,RES-10K-0.25W,1523,Passive
2022-04-03,RES-10K-0.25W,1567,Passive
2022-04-04,RES-10K-0.25W,2482,Passive
2022-04-05,RES-10K-0.25W,2569,Passive
2022-04-06,RES-10K-0.25W,2506,Passive
2022-04-07,RES-10K-0.25W,2543,Passive
2022-04-08,RES-10K-0.25W,2752,Passive
2022-04-09,RES-10K-0.25W,1452,Passive
2022-04-10,RES-10K-0.25W,1296,Passive
2022-04-11,RES-10K-0.25W,2447,Passive
2022-04-12,RES-10K-0.25W,2636,Passive
2022-04-13,RES-10K-0.25W,2647,Passive
2022-04-14,RES-10K-0.25W,2283,Passive
2022-04-15,RES-10K-0.25W,2618,Passive
2022-04-16,RES-10K-0.25W,1660,Passive
2022-04-17,RES-10K-0.25W,1541,Passive
2022-04-18,RES-10K-0.25W,2504,Passive
2022-04-19,RES-10K-0.25W,2685,Passive
2022-04-20,RES-10K-0.25W,2422,Passive
2022-04-21,RES-10K-0.25W,2674,Passive
2022-04-22,RES-10K-0.25W,2284,Passive
2022-04-23,RES-10K-0.25W,1490,Passive
2022-04-24,RES-10K-0.25W,1632,Passive
2022-04-25,RES-10K-0.25W,2915,Passive
2022-04-26,RES-10K-0.25W,2399,Passive
2022-04-27,RES-10K-0.25W,2356,Passive
2022-04-28,RES-10K-0.25W,2510,Passive
2022-04-29,RES-10K-0.25W,2782,Passive
2022-04-30,RES-10K-0.25W,1422,Passive
2022-05-01,RES-10K-0.25W,1489,Passive
2022-05-02,RES-10K-0.25W,2305,Passive
2022-05-03,RES-10K-0.25W,2572,Passive
2022-05-04,RES-10K-0.25W,2467,Passive
2022-05-05,RES-10K-0.25W,2580,Passive
2022-05-06,RES-10K-0.25W,2361,Passive
2022-05-07,RES-10K-0.25W,1523,Passive
2022-05-08,RES-10K-0.25W,1581,Passive
2022-05-09,RES-10K-0.25W,2228,Passive
2022-05-10,RES-10K-0.25W,2609,Passive
2022-05-11,RES-10K-0.25W,2549,Passive
2022-05-12,RES-10K-0.25W,2438,Passive
2022-05-13,RES-10K-0.25W,4142,Passive
2022-05-14,RES-10K-0.25W,1391,Passive
2022-05-15,RES-10K-0.25W,1404,Passive
2022-05-16,RES-10K-0.25W,2368,Passive
2022-05-17,RES-10K-0.25W,7241,Passive
2022-05-18,RES-10K-0.25W,2352,Passive
2022-05-19,RES-10K-0.25W,2339,Passive
2022-05-20,RES-10K-0.25W,2616,Passive
2022-05-21,RES-10K-0.25W,1315,Passive
2022-05-22,RES-10K-0.25W,1510,Passive
2022-05-23,RES-10K-0.25W,2545,Passive
2022-05-24,RES-10K-0.25W,2641,Passive
2022-05-25,RES-10K-0.25W,2755,Passive
2022-05-26,RES-10K-0.25W,2588,Passive
2022-05-27,RES-10K-0.25W,8485,Passive
2022-05-28,RES-10K-0.25W,1468,Passive
2022-05-29,RES-10K-0.25W,1688,Passive
2022-05-30,RES-10K-0.25W,2385,Passive
2022-05-31,RES-10K-0.25W,2816,Passive
2022-06-01,RES-10K-0.25W,1551,Passive
2022-06-02,RES-10K-0.25W,1558,Passive
2022-06-03,RES-10K-0.25W,1764,Passive
2022-06-04,RES-10K-0.25W,629,Passive
2022-06-05,RES-10K-0.25W,762,Passive
2022-06-06,RES-10K-0.25W,1768,Passive
2022-06-07,RES-10K-0.25W,1790,Passive
2022-06-08,RES-10K-0.25W,2084,Passive
2022-06-09,RES-10K-0.25W,1601,Passive
2022-06-10,RES-10K-0.25W,1975,Passive
2022-06-11,RES-10K-0.25W,757,Passive
2022-06-12,RES-10K-0.25W,716,Passive
2022-06-13,RES-10K-0.25W,1770,Passive
2022-06-14,RES-10K-0.25W,1647,Passive
2022-06-15,RES-10K-0.25W,1634,Passive
2022-06-16,RES-10K-0.25W,1865,Passive
2022-06-17,RES-10K-0.25W,1996,Passive
2022-06-18,RES-10K-0.25W,667,Passive
2022-06-19,RES-10K-0.25W,500,Passive
2022-06-20,RES-10K-0.25W,1863,Passive
2022-06-21,RES-10K-0.25W,1696,Passive
2022-06-22,RES-10K-0.25W,1687,Passive
2022-06-23,RES-10K-0.25W,1610,Passive
2022-06-24,RES-10K-0.25W,1547,Passive
2022-06-25,RES-10K-0.25W,939,Passive
2022-06-26,RES-10K-0.25W,3137,Passive
2022-06-27,RES-10K-0.25W,1736,Passive
